,Tier,Face Color,Blob Style,Face,Shape,Background,Random ID,tokenId,ID
0,4,FTXUS,FTXUS,FTXUS,FTXUS,FTXUS,c0898109,0,0
1,4,Candy Machine,Candy Machine,Candy Machine,Candy Machine,Candy Machine,a33dd367,7979,1
2,4,Cyberpunk,Cyberpunk,Cyberpunk,Cyberpunk,Cyberpunk,773f8b48,7980,2
3,4,Fox,Fox,Fox,Fox,Fox,4d9aca1a,7981,3
4,4,FTX,FTX,FTX,FTX,FTX,f657bbdd,7982,4
5,4,Bunny,Bunny,Bunny,Bunny,Bunny,6b2faae5,7983,5
6,4,Iceberg,Iceberg,Iceberg,Iceberg,Iceberg,5ae89ce6,7984,6
7,4,Loops,Loops,Loops,Loops,Loops,3a04c3,7985,7
8,4,Miku,Miku,Miku,Miku,Miku,83ed8023,7986,8
9,4,Monkey,Monkey,Monkey,Monkey,Monkey,6957b466,7987,9
10,4,Solflare,Solflare,Solflare,Solflare,Solflare,c2d51509,7988,10
11,4,Bloodie,Bloodie,Bloodie,Bloodie,Bloodie,ac036ff7,7989,11
12,4,stegaBOB,stegaBOB,stegaBOB,stegaBOB,stegaBOB,7085c8c8,7990,12
13,4,Sway,Sway,Sway,Sway,Sway,b0aaa68c,7991,13
14,4,Ponjinge,Ponjinge,Ponjinge,Ponjinge,Ponjinge,eabc5578,7992,14
15,4,Cupid,Cupid,Cupid,Cupid,Cupid,21e7e82e,7993,15
16,3,Dark,Pepperoni Onion Pizza,Squee,Bunny,Pizza,9753d1d2,7994,16
17,3,Dark,Blue Topaz,Hypnotized,Poop,Gemstone,ced3681f,7995,17
18,3,Dark,Saba,Wink Laugh,Round,Sushi,a74bff93,7996,18
19,1,Dark,Ocean Seafoam,Bloop,Round,Taffy,e553b4e1,7997,19
20,1,Dark,Viola Bisque,Flustered,Poop,Indigo,c6020ad,7998,20
21,3,Dark,Pepperoni Onion Pizza,Laugh,Round,Pizza,f2667b61,7999,21
22,1,Dark,Arctic Berry,Teary,Poop,Arctic,e8ac6616,8000,22
23,1,Bright,Purple Berry,Satisfied,Poop,Steel,18e2791a,8001,23
24,3,Dark,Watermelon,Flustered,Round,Fruit,42c44e1a,8002,24
25,2,Dark,Liquid Seafoam Iron,Sparkle Eyes,Fluffy,Arctic2,51f1485e,8003,25
26,1,Dark,Rufous Tart,Squee,Bunny,Peach,45c7d249,8004,26
27,2,Dark,Liquid Sapphire Yale,Cry,Poop,Taffy2,1b7b8c18,8005,27
28,3,Dark,Milky Way Sky,Side Eye,Round,Galaxy,e1f2ed6b,8006,28
29,1,Bright,Aegean Teal,Blep,Fluffy,Mint,3b05c9e8,8007,29
30,3,Dark,Vanilla Sprinkles,Starstruck Blep,Round,Dessert,4c17245,8008,30
31,1,Dark,Viola Bisque,Plotting,Bunny,Indigo,ee785650,8009,31
32,2,Dark,Liquid Biscotti Hunter,Smiling,Fluffy,Cornflower9,f1841c61,8010,32
33,2,Dark,Liquid Banana Peach,Wicked,Cat,Daffodil8,cd8e7fd0,8011,33
34,2,Dark,Liquid Cotton Parakeet,Smile,Cat,Mint9,b236646c,8012,34
35,2,Dark,Liquid Midnight Vanilla,Plotting,Bunny,Daffodil5,1828282c,8013,35
36,1,Dark,Shadow Whisper,Mad,Cat,Cornflower,16f04bed,8014,36
37,2,Dark,Liquid Periwinkle Shadow,Blep,Bunny,Arctic2,fdd0973c,8015,37
38,3,Dark,Milky Way Sky,Satisfied Nya,Poop,Galaxy,4fc8dfa8,8016,38
39,1,Dark,Lapis Turquoise,Squee,Round,Taffy,f1060f0d,8017,39
40,2,Dark,Silver,Squee,Round,Arctic3,a891eb0,8018,40
41,1,Dark,Lapis Turquoise,Blep,Round,Steel,62600dfe,8019,41
42,2,Dark,Liquid Honey Rouge,Evil,Cat,Cornflower7,abf91ac9,8020,42
43,2,Dark,Liquid Lavender Lime,Satisfied,Poop,Lime6,a9f8beff,8021,43
44,2,Dark,Liquid Strawberry Laurel,Dead,Bunny,Mint4,c00bbebd,8022,44
45,3,Dark,Turquoise Meteor,Side Eye,Round,Galaxy,51c6f5ea,8023,45
46,3,Dark,Amethyst,Energized,Cat,Gemstone,e2a48572,8024,46
47,2,Dark,Liquid Pearl Thunder,UwU,Round,Mint4,7aa72cc3,8025,47
48,2,Dark,Liquid Pine Mint Tea,Wail,Bunny,Lime7,d5ef1230,8026,48
49,2,Dark,Liquid Cerise Lemon Sky,Wink,Bunny,Taffy7,fd23250c,8027,49
50,1,Dark,Grape Bubblegum,Neutral Smile,Fluffy,Peach,4336675b,8028,50
51,1,Dark,Turquoise Mint,Blush Nya,Cat,Mint,723aab2f,8029,51
52,1,Dark,Lavender Gam,Blush Nya,Cat,Arctic,45b572a0,8030,52
53,3,Dark,Saba,Bloop,Round,Sushi,6c40dacd,8031,53
54,1,Dark,Lapis Turquoise,UwU,Bunny,Rose,598c43f7,8032,54
55,1,Dark,Iris Orchid,Derp,Fluffy,Rose,6e42e4b0,8033,55
56,2,Dark,Liquid Periwinkle Maya Pearls,Smirk,Poop,Peach2,9d2c3aa1,8034,56
57,1,Dark,Pearl Cloud,Zany,Fluffy,Mint,d9a30e2,8035,57
58,2,Dark,Liquid Pistachio Mauve,Melt,Cat,Arctic3,a93d04e,8036,58
59,1,Dark,Cerulean Eggplant,Squee,Bunny,Steel,e04a91a9,8037,59
60,1,Bright,Cherry Wine,Melt,Bunny,Rose,957bb3dc,8038,60
61,1,Dark,Shadow Whisper,Dead,Round,Indigo,971fd58d,8039,61
62,1,Dark,Pistachio Lollipop,Derp,Cat,Rose,81d6e0aa,8040,62
63,2,Dark,Liquid Nacreous Pastel,Blush Laugh,Bunny,Indigo9,c4a364f6,8041,63
64,2,Dark,Liquid Tangerine Lollipop,Blush,Poop,Indigo3,3ddd51f,8042,64
65,2,Dark,Liquid Peppermint Powder,Tease,Cat,Cornflower8,4d8aef2a,8043,65
66,1,Dark,Electric Azure,Zany,Bunny,Cornflower,d9896575,8044,66
67,2,Dark,Liquid Buttermilk Tiffany,Evil,Fluffy,Mint6,478d6d7a,8045,67
68,2,Dark,Liquid Flamingo Sky Ocean,Dead Inside,Round,Peach8,4333fdcd,8046,68
69,1,Dark,Pistachio Lollipop,Squee,Round,Taffy,c0062b83,8047,69
70,1,Dark,Electric Sky,Dizzy,Cat,Peach,f65de563,8048,70
71,3,Dark,Watermelon,Hypnotized,Round,Fruit,67256fdb,8049,71
72,2,Dark,Liquid Flamingo Sky Ocean,Wink,Round,Indigo2,58288b04,8050,72
73,2,Dark,Liquid Ocean Tiger Geode,Drool,Cat,Indigo8,b6ace8a,8051,73
74,1,Dark,Turquoise Mint,Drool,Round,Rose,ea85c38,8052,74
75,1,Dark,Teal Coral,Teary,Fluffy,Daffodil,62090700,8053,75
76,1,Dark,Pineapple Taffy,Melt,Round,Cornflower,9becc361,8054,76
77,2,Dark,Liquid Cream Fern,Squee,Fluffy,Lime3,e8901eeb,8055,77
78,3,Dark,Ruby,Tease,Poop,Gemstone,c3bd067d,8056,78
79,2,Dark,Liquid Indigo Mint Taffy,Winkle,Round,Daffodil9,6ef51ee4,8057,79
80,1,Dark,Imperial Peach,Wink Laugh,Fluffy,Mint,4f56085b,8058,80
81,1,Dark,Arctic Helio,Smirk,Round,Steel,9f3ad0e4,8059,81
82,2,Dark,Platinum,Astonished,Bunny,Peach9,7f373eb6,8060,82
83,2,Dark,Liquid Daffodil Orchid,Dead,Poop,Rose3,2ced505,8061,83
84,2,Dark,Liquid Lapis Cobalt Geode,Weary,Bunny,Indigo4,ff7d6544,8062,84
85,1,Dark,Cornflower Fuchsia,Angry,Bunny,Rose,5bcac9fc,8063,85
86,1,Dark,Electric Azure,Satisfied Nya,Fluffy,Indigo,e4a1f817,8064,86
